accession	protein_name	sequence_length	header_line	genbank_id	genbank_link	subfamily	phenotype	natural_or_acquired
CAA37699	R39-1	304	CAA37699.1 beta-lactamase [Actinomadura sp. R39]	X53650	http://www.ncbi.nlm.nih.gov/nuccore/X53650?from=321&to=1235			N ( Actinomadura sp. R39)
APY23733	ARL-1	282	APY23733.1 beta-lactamase ARL-1 [Staphylococcus arlettae]	KY363215	http://www.ncbi.nlm.nih.gov/nuccore/KY363215?from=79489&to=80337		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae SAN1670)
APY23841	ARL-2	282	APY23841.1 beta-lactamase ARL-2 [Staphylococcus arlettae]	KY363207	http://www.ncbi.nlm.nih.gov/nuccore/KY363207?from=2237&to=3085		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae BM242)
APY23844	ARL-3	282	APY23844.1 beta-lactamase ARL-3 [Staphylococcus arlettae]	KY363208	http://www.ncbi.nlm.nih.gov/nuccore/KY363208?from=2237&to=3085		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae CCUG 32416)
APY23838	ARL-4	282	APY23838.1 beta-lactamase ARL-4 [Staphylococcus arlettae]	KY363206	http://www.ncbi.nlm.nih.gov/nuccore/KY363206?from=2237&to=3085		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae CCUG 50677)
APY23862	ARL-5	282	APY23862.1 beta-lactamase ARL-5 [Staphylococcus arlettae]	KY363214	http://www.ncbi.nlm.nih.gov/nuccore/KY363214?from=2238&to=3086		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae CCUG 33610)
APY23865	ARL-6	282	APY23865.1 beta-lactamase ARL-6 [Staphylococcus arlettae]	KY464892	http://www.ncbi.nlm.nih.gov/nuccore/KY464892?from=2237&to=3085		10.1128/mSphere.00117-17	N ( Staphylococcus arlettae ILRI338)
AAG44836	AST-1	310	AAG44836.1 class A beta-lactamase AST-1 [Nocardia asteroides]	AF279904	http://www.ncbi.nlm.nih.gov/nuccore/AF279904?from=160&to=1092	AST-like		N ( Nocardia asteroides )
QWJ89340	ASU1-1	319	QWJ89340.1 class A beta-lactamase ASU1-1 [uncultured bacterium]	MZ126682	http://www.ncbi.nlm.nih.gov/nuccore/MZ126682?from=1&to=960			N ( uncultured bacterium )
ATG32091	AXC-1	298	ATG32091.1 beta-lactamase precursor Axc [Achromobacter xylosoxidans]	MF767301	http://www.ncbi.nlm.nih.gov/nuccore/MF767301?from=987&to=1883			N ( Achromobacter xylosoxidans JC186)
AXM44138	AXC-2	298	AXM44138.1 beta-lactamase AXC-2 [Achromobacter ruhlandii]	MH742744	http://www.ncbi.nlm.nih.gov/nuccore/MH742744?from=1&to=897			N ( Achromobacter ruhlandii )
AXM44139	AXC-3	298	AXM44139.1 beta-lactamase AXC-3 [Achromobacter ruhlandii]	MH742745	http://www.ncbi.nlm.nih.gov/nuccore/MH742745?from=1&to=897			N ( Achromobacter ruhlandii )
QEJ74006		298	QEJ74006.1 carbapenem-hydrolyzing class A beta-lactamase AXC-4 [Achromobacter xylosoxidans]					
QEJ80833		298	QEJ80833.1 carbapenem-hydrolyzing class A beta-lactamase AXC-5 [Achromobacter xylosoxidans]					
QUR41148	AXC-6	298	QUR41148.1 carbapenem-hydrolyzing class A beta-lactamase AXC-6 [Achromobacter ruhlandii]	MZ025964	http://www.ncbi.nlm.nih.gov/nuccore/MZ025964?from=1&to=897			N ( Achromobacter ruhlandii )
UGN25768	AXC-7	298	UGN25768.1 carbapenem-hydrolyzing class A beta-lactamase AXC-7 [Achromobacter xylosoxidans]	OL516042	http://www.ncbi.nlm.nih.gov/nuccore/OL516042?from=1&to=897			N ( Achromobacter xylosoxidans 163342)
BFR50331	AXC-8	298	BFR50331.1 class A beta-lactamase [Achromobacter ruhlandii]	LC834166	http://www.ncbi.nlm.nih.gov/nuccore/LC834166?from=1&to=897			N ( Achromobacter ruhlandii GS627)
ATL63231	BBI-1	304	ATL63231.1 beta-lactamase [Brevibacillus brevis Vm4]	KY753882	http://www.ncbi.nlm.nih.gov/nuccore/KY753882?from=1&to=915			N ( Brevibacillus brevis Vm4)
EEK47466	BcI-1	312	EEK47466.1 Beta-lactamase [Bacillus cereus ATCC 10876]	ACLT01000139	http://www.ncbi.nlm.nih.gov/nuccore/ACLT01000139?from=19446&to=20384	BI-like		N ( Bacillus cereus ATCC 10876)
AIM06324	BcI-2	312	AIM06324.1 beta-lactamase [Bacillus anthracis]	CP008853	http://www.ncbi.nlm.nih.gov/nuccore/CP008853?from=2328041&to=2328979	BI-like		N ( Bacillus anthracis Cvac02)
AAA22668	BcI-P3	306	AAA22668.1 beta-lactamase I precursor (ttg start codon) [Bacillus cereus]	M12607	http://www.ncbi.nlm.nih.gov/nuccore/M12607?from=272&to=1192	BI-like		N ( Bacillus cereus 5/B)
CAA58448	BcI-P4	309	CAA58448.1 beta-lactamase [Bacillus thuringiensis]	X83424	http://www.ncbi.nlm.nih.gov/nuccore/X83424?from=262&to=1191	BI-like		N ( Bacillus thuringiensis Bt13)
AAA22274	BcIII-1	316	AAA22274.1 beta-lactamase III precursor [Bacillus cereus]	M15195	http://www.ncbi.nlm.nih.gov/nuccore/M15195?from=784&to=1734	BIII-like		N ( Bacillus cereus )
ALA52629	BCL-1	301	ALA52629.1 Beta-lactamase [Shouchella clausii]	CP012475	http://www.ncbi.nlm.nih.gov/nuccore/CP012475?from=1753208&to=1754113			N ( Shouchella clausii )
AHD24679	BEL-1	283	AHD24679.1 beta-lactamase BEL-1 (plasmid) [Klebsiella pneumoniae]	KF745070	http://www.ncbi.nlm.nih.gov/nuccore/KF745070?from=3077&to=3928		2be	A
ACV69996	BEL-2	283	ACV69996.1 extended-spectrum beta-lactamase BEL-2 [Pseudomonas aeruginosa]	FJ666063	http://www.ncbi.nlm.nih.gov/nuccore/FJ666063?from=1&to=852		2be	A
ACT09140	BEL-3	283	ACT09140.1 BEL-3 [Pseudomonas aeruginosa]	GQ202694	http://www.ncbi.nlm.nih.gov/nuccore/GQ202694?from=1&to=852		2be	A
ANM44757	BEL-4	283	ANM44757.1 class A extended-spectrum beta-lactamase BEL-4 [Pseudomonas aeruginosa]	KX388629	http://www.ncbi.nlm.nih.gov/nuccore/KX388629?from=1&to=852			A
XRI57711	BEL-5	283	XRI57711.1 extended-spectrum class A beta-lactamase BEL-5 [Pseudomonas aeruginosa]	PV474612	http://www.ncbi.nlm.nih.gov/nuccore/PV474612?from=1&to=852			A
AAF61147	BES-1	292	AAF61147.1 extended-spectrum beta-lactamase BES-1 (plasmid) [Serratia marcescens]	AF234999	http://www.ncbi.nlm.nih.gov/nuccore/AF234999?from=190&to=1068		2be	A
ADB56658	BIC-1	294	ADB56658.1 BIC-1 class A carbapenemase [Pseudomonas fluorescens]	GQ260093	http://www.ncbi.nlm.nih.gov/nuccore/GQ260093?from=1&to=885			A
WKD79667	BIC-2	294	WKD79667.1 carbapenem-hydrolyzing class A beta-lactamase BIC-2 [Pseudomonas fluorescens]	OR143113	http://www.ncbi.nlm.nih.gov/nuccore/OR143113?from=121&to=1005			A
AKD43328	BKC-1	313	AKD43328.1 bKC-1 (plasmid) [Klebsiella pneumoniae]	KP689347	http://www.ncbi.nlm.nih.gov/nuccore/KP689347?from=8603&to=9544&strand=2			A
QJR96167	BKC-2	313	QJR96167.1 carbapenem-hydrolyzing class A beta-lactamase BKC-2 (plasmid) [Enterobacter hormaechei subsp. xiangfangensis]	MT427610	http://www.ncbi.nlm.nih.gov/nuccore/MT427610?from=1&to=942			A
XXP77016	BKC-3	313	XXP77016.1 carbapenem-hydrolyzing class A beta-lactamase BKC-3 (plasmid) [Enterobacter hormaechei subsp. steigerwaltii]	PV769409	http://www.ncbi.nlm.nih.gov/nuccore/PV769409?from=7038&to=7979&strand=2			A
AAB07556	BlaC-1	307	AAB07556.1 beta-lactamase [Mycobacterium tuberculosis H37Ra]	U67924	http://www.ncbi.nlm.nih.gov/nuccore/U67924?from=277&to=1200			N ( Mycobacterium tuberculosis H37Ra)
CAA23431	BlaP-1	307	CAA23431.1 penicillinase [Bacillus licheniformis]	V00093	http://www.ncbi.nlm.nih.gov/nuccore/V00093?from=266&to=1189			N ( Bacillus licheniformis )
AMR08909	BlaP-2	307	AMR08909.1 class A beta-lactamase [Bacillus licheniformis]	CP014781	http://www.ncbi.nlm.nih.gov/nuccore/CP014781?from=257929&to=258852			N ( Bacillus licheniformis )
CAA71115	BlaP-P1	265	CAA71115.1 beta-lactamase, partial [Bacillus licheniformis]	Y10006	http://www.ncbi.nlm.nih.gov/nuccore/Y10006?from=1&to=795			N ( Bacillus licheniformis )
AIU14458	BlaS-1	293	AIU14458.1 beta-lactamase [Mycolicibacterium smegmatis]	CP009495	http://www.ncbi.nlm.nih.gov/nuccore/CP009495?from=2739695&to=2740576			N ( Mycolicibacterium smegmatis INHR1)
CAE32545	BOR-1	305	CAE32545.1 Putative beta-lactamase [Bordetella bronchiseptica RB50]	BX640443	http://www.ncbi.nlm.nih.gov/nuccore/BX640443?from=107142&to=108059			N ( Bordetella bronchiseptica RB50)
WP_041763983	BPA-1	299	WP_041763983.1 class A beta-lactamase [Paraburkholderia phymatum]	NC_010622	http://www.ncbi.nlm.nih.gov/nuccore/NC_010622?from=2501663&to=2502562&strand=2			N ( Paraburkholderia phymatum STM815)
AFT98289	BRA-1	306	AFT98289.1 beta-lactamase AST-1 precursor [Nocardia brasiliensis ATCC 700358]	CP003876	http://www.ncbi.nlm.nih.gov/nuccore/CP003876?from=377763&to=378683&strand=2			N ( Nocardia brasiliensis ATCC 700358 HUJEG-1)
AFU01388	BRS-1	299	AFU01388.1 beta-lactamase [Nocardia brasiliensis ATCC 700358]	CP003876	http://www.ncbi.nlm.nih.gov/nuccore/CP003876?from=3836131&to=3837030&strand=2			N ( Nocardia brasiliensis ATCC 700358 HUJEG-1)
AAA92126	BRO-1	313	AAA92126.1 beta-lactamase BRO-1 [Moraxella catarrhalis]	U49269	http://www.ncbi.nlm.nih.gov/nuccore/U49269?from=1976&to=2917			N ( Moraxella catarrhalis )
ADG61848	BRO-2	313	ADG61848.1 beta-lactamase family protein BRO-2 [Moraxella catarrhalis BBH18]	CP002005	http://www.ncbi.nlm.nih.gov/nuccore/CP002005?from=1565907&to=1566848			N ( Moraxella catarrhalis )
AAV65950	CAD-1	304	AAV65950.1 penicillinase Cad-1 [Carnobacterium divergens]	AY650920	http://www.ncbi.nlm.nih.gov/nuccore/AY650920?from=1&to=915			N ( Carnobacterium divergens )
RGE40949	CAE-1	302	RGE40949.1 class A beta-lactamase [Comamonas testosteroni]	KZ984469	http://www.ncbi.nlm.nih.gov/nuccore/KZ984469?from=48065&to=48973&strand=2			A
AAA25979	CARB-1	304	AAA25979.1 carbenicillinase [Pseudomonas aeruginosa]	J05162	http://www.ncbi.nlm.nih.gov/nuccore/J05162?from=122&to=1036	CARB-1-like	2c	A
AAA25741	CARB-2	288	AAA25741.1 beta-lactamase [Pseudomonas aeruginosa]	M69058	http://www.ncbi.nlm.nih.gov/nuccore/M69058?from=146&to=1012	CARB-1-like	2c	A
WP_063859105	CARB-3	288	WP_063859105.1 PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-3 [Pseudomonas aeruginosa]	NG_048733	http://www.ncbi.nlm.nih.gov/nuccore/NG_048733?from=101&to=967	CARB-1-like	2c	A
ACN89662	CARB-4	288	ACN89662.1 beta-lactamase CARB-4 [Acinetobacter baumannii]	FJ785525	http://www.ncbi.nlm.nih.gov/nuccore/FJ785525?from=4374&to=5240	CARB-1-like	2c	A
AAF61417	CARB-5	298	AAF61417.1 class A beta-lactamase blaCARB-5 [Acinetobacter calcoaceticus subsp. anitratus]	AF135373	http://www.ncbi.nlm.nih.gov/nuccore/AF135373?from=12&to=908	CARB-5-like		A
AAD19217	CARB-6	288	AAD19217.1 class A beta-lactamase (plasmid) [Vibrio cholerae]	AF030945	http://www.ncbi.nlm.nih.gov/nuccore/AF030945?from=96&to=962	CARB-1-like		A
AAM74565	CARB-7	288	AAM74565.1 carbenicillin-hydrolyzing beta-lactamase [Vibrio cholerae non-O1/non-O139]	AF409092	http://www.ncbi.nlm.nih.gov/nuccore/AF409092?from=888&to=1754	CARB-1-like		A
AAO59455	CARB-8	298	AAO59455.1 beta-lactamase CARB-8 [Oligella urethralis]	AY178993	http://www.ncbi.nlm.nih.gov/nuccore/AY178993?from=575&to=1471	CARB-5-like		A
EKG82913	CARB-9	288	EKG82913.1 beta-lactamase CARB-6 [Vibrio paracholerae HE-16]	ALEB01000223	http://www.ncbi.nlm.nih.gov/nuccore/ALEB01000223?from=762&to=1628	CARB-1-like		A
ACJ61335	CARB-10	298	ACJ61335.1 RTG-4 [Acinetobacter baumannii]	EU850412	http://www.ncbi.nlm.nih.gov/nuccore/EU850412?from=2270&to=3166	CARB-5-like		A
AAG23870	CARB-11	288	AAG23870.1 beta-lactamase PSE-5 [Pseudomonas aeruginosa]	AY008290	http://www.ncbi.nlm.nih.gov/nuccore/AY008290?from=1&to=867	CARB-1-like		A
BAA02497	CARB-12	288	BAA02497.1 beta-lactamase precursor (plasmid) [Proteus mirabilis]	D13210	http://www.ncbi.nlm.nih.gov/nuccore/D13210?from=232&to=1098	CARB-1-like		A
AFI72872	CARB-14	298	AFI72872.1 beta-lactamase RTG-5 [Acinetobacter baumannii]	JQ364968	http://www.ncbi.nlm.nih.gov/nuccore/JQ364968?from=3333&to=4229	CARB-5-like		A
OCY97266	CARB-16	298	OCY97266.1 hypothetical protein BFR94_09230 [Acinetobacter pittii]	MDIN01000062	http://www.ncbi.nlm.nih.gov/nuccore/MDIN01000062?from=3940&to=4836&strand=2	CARB-5-like		A
AIL92326	CARB-17	283	AIL92326.1 beta-lactamase CARB-17 [Vibrio parahaemolyticus]	KJ934265	http://www.ncbi.nlm.nih.gov/nuccore/KJ934265?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus )
AIL92327	CARB-18	283	AIL92327.1 beta-lactamase CARB-18 [Vibrio parahaemolyticus]	KJ934266	http://www.ncbi.nlm.nih.gov/nuccore/KJ934266?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus )
AIL92328	CARB-19	283	AIL92328.1 beta-lactamase CARB-19 [Vibrio parahaemolyticus]	KJ934267	http://www.ncbi.nlm.nih.gov/nuccore/KJ934267?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus )
KED43530	CARB-20	283	KED43530.1 beta-lactamase [Vibrio parahaemolyticus]	JNSW01000056	http://www.ncbi.nlm.nih.gov/nuccore/JNSW01000056?from=45719&to=46570	CARB-17-like		N ( Vibrio parahaemolyticus )
KED56068	CARB-21	283	KED56068.1 beta-lactamase [Vibrio parahaemolyticus]	JNSY01000030	http://www.ncbi.nlm.nih.gov/nuccore/JNSY01000030?from=67&to=918&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
KJH12413	CARB-22	283	KJH12413.1 beta-lactamase [Vibrio parahaemolyticus]	JYNG01000059	http://www.ncbi.nlm.nih.gov/nuccore/JYNG01000059?from=457460&to=458311	CARB-17-like		N ( Vibrio parahaemolyticus )
WP_025442943	CARB-23	285	WP_025442943.1 carbenicillin-hydrolyzing class A beta-lactamase CARB-23 [Vibrio parahaemolyticus]	NG_048726	http://www.ncbi.nlm.nih.gov/nuccore/NG_048726?from=101&to=958	CARB-17-like		N ( Vibrio parahaemolyticus UCM-V493)
DAA64871	CARB-24	283	DAA64871.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus]	BK008907	http://www.ncbi.nlm.nih.gov/nuccore/BK008907?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus )
DAA64852	CARB-25	283	DAA64852.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus M0605]	BK008888	http://www.ncbi.nlm.nih.gov/nuccore/BK008888?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus M0605)
DAA64868	CARB-26	283	DAA64868.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S014]	BK008904	http://www.ncbi.nlm.nih.gov/nuccore/BK008904?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S014)
KJR13596	CARB-27	283	KJR13596.1 beta-lactamase [Vibrio parahaemolyticus]	JZAN01000065	http://www.ncbi.nlm.nih.gov/nuccore/JZAN01000065?from=81890&to=82741&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
DAA64870	CARB-28	283	DAA64870.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S023]	BK008906	http://www.ncbi.nlm.nih.gov/nuccore/BK008906?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S023)
DAA64869	CARB-29	283	DAA64869.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S024]	BK008905	http://www.ncbi.nlm.nih.gov/nuccore/BK008905?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S024)
KEE06075	CARB-30	283	KEE06075.1 beta-lactamase [Vibrio parahaemolyticus]	JNTN01000060	http://www.ncbi.nlm.nih.gov/nuccore/JNTN01000060?from=18586&to=19437	CARB-17-like		N ( Vibrio parahaemolyticus )
KEE53262	CARB-31	283	KEE53262.1 beta-lactamase [Vibrio parahaemolyticus]	JNTZ01000001	http://www.ncbi.nlm.nih.gov/nuccore/JNTZ01000001?from=373115&to=373966&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
KHQ82819	CARB-32	283	KHQ82819.1 beta-lactamase [Vibrio parahaemolyticus]	JWSR01000004	http://www.ncbi.nlm.nih.gov/nuccore/JWSR01000004?from=1500634&to=1501485	CARB-17-like		N ( Vibrio parahaemolyticus )
DAA64867	CARB-33	283	DAA64867.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S105]	BK008903	http://www.ncbi.nlm.nih.gov/nuccore/BK008903?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S105)
KJR27412	CARB-34	283	KJR27412.1 beta-lactamase [Vibrio parahaemolyticus]	JZAP01000041	http://www.ncbi.nlm.nih.gov/nuccore/JZAP01000041?from=343916&to=344767&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
DAA64864	CARB-35	283	DAA64864.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S141]	BK008900	http://www.ncbi.nlm.nih.gov/nuccore/BK008900?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S141)
OCP78510	CARB-36	283	OCP78510.1 beta-lactamase [Vibrio parahaemolyticus]	LHBD01000022	http://www.ncbi.nlm.nih.gov/nuccore/LHBD01000022?from=22327&to=23178	CARB-17-like		N ( Vibrio parahaemolyticus )
DAA64862	CARB-38	283	DAA64862.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus S164]	BK008898	http://www.ncbi.nlm.nih.gov/nuccore/BK008898?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus S164)
DAA64853	CARB-40	283	DAA64853.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus TUMSAT_DE1_S1]	BK008889	http://www.ncbi.nlm.nih.gov/nuccore/BK008889?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus TUMSAT_DE1_S1)
DAA64854	CARB-41	283	DAA64854.1 TPA_inf: CARB-type beta-lactamase [Vibrio parahaemolyticus TUMSAT_DE2_S2]	BK008890	http://www.ncbi.nlm.nih.gov/nuccore/BK008890?from=1&to=852	CARB-17-like		N ( Vibrio parahaemolyticus TUMSAT_DE2_S2)
ALR93825	CARB-42	283	ALR93825.1 class A beta-lactamase [Vibrio alginolyticus]	CP013485	http://www.ncbi.nlm.nih.gov/nuccore/CP013485?from=53838&to=54689&strand=2	CARB-17-like		N ( Vibrio alginolyticus )
KOE84138	CARB-43	283	KOE84138.1 beta-lactamase [Vibrio parahaemolyticus]	LFWO01000032	http://www.ncbi.nlm.nih.gov/nuccore/LFWO01000032?from=337068&to=337919&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
KHF12803	CARB-44	283	KHF12803.1 beta-lactamase [Vibrio parahaemolyticus]	JTGS01000066	http://www.ncbi.nlm.nih.gov/nuccore/JTGS01000066?from=360720&to=361571&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
KHF09587	CARB-45	283	KHF09587.1 beta-lactamase [Vibrio parahaemolyticus]	JTGR01000061	http://www.ncbi.nlm.nih.gov/nuccore/JTGR01000061?from=357012&to=357863&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
KED80204	CARB-46	283	KED80204.1 beta-lactamase [Vibrio parahaemolyticus]	JNTF01000030	http://www.ncbi.nlm.nih.gov/nuccore/JNTF01000030?from=10599&to=11450&strand=2	CARB-17-like		N ( Vibrio parahaemolyticus )
WP_031841337	CARB-47	283	WP_031841337.1 carbenicillin-hydrolyzing class A beta-lactamase CARB-47 [Vibrio parahaemolyticus]	NG_050564	http://www.ncbi.nlm.nih.gov/nuccore/NG_050564?from=101&to=952	CARB-17-like		N ( Vibrio parahaemolyticus NIHCB0757)
WP_025577435	CARB-48	283	WP_025577435.1 carbenicillin-hydrolyzing class A beta-lactamase CARB-48 [Vibrio parahaemolyticus]	NG_050604	http://www.ncbi.nlm.nih.gov/nuccore/NG_050604?from=101&to=952	CARB-17-like		N ( Vibrio parahaemolyticus VPTS-2009)
ANW47155	CARB-49	298	ANW47155.1 RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-49 [Acinetobacter baumannii]	KX599396	http://www.ncbi.nlm.nih.gov/nuccore/KX599396?from=1&to=897	CARB-5-like		A
